"C:\Program Files\Java\jdk-12.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\lib\idea_rt.jar=59074:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Keval\IdeaProjects\CollectionsProjectHomework\out\production\CollectionsProjectHomework com.company.CollectionsRunner
Part II:
Total words in War and Peace: 576150
Duration: 1109 millisecndonds
'anything' occured: 294
'anyway' occured: 4
'anywhere' occured: 26
'apart' occured: 53
'apartment' occured: 5
'apartments' occured: 13
'apathetic' occured: 1
'apathy' occured: 2
'ape' occured: 2
'apes' occured: 2
'apex' occured: 1
'apocalypse' occured: 4
'apollon' occured: 1
'apologetically' occured: 2
'apologies' occured: 1
'apologize' occured: 10
'apologizing' occured: 2
'apology' occured: 1
'apoplectic' occured: 1
'appalled' occured: 3
'apparent' occured: 14
'apparently' occured: 41
'apparition' occured: 2
'appeal' occured: 15
'appealed' occured: 3
'appealing' occured: 1
'appeals' occured: 1
'appear' occured: 53
'appearance' occured: 40
'appeared' occured: 123
'appearing' occured: 13
'appears' occured: 24
'appease' occured: 2
'appeased' occured: 2
'appellation' occured: 2
'appellations' occured: 1
'appetizing' occured: 2
'applauding' occured: 1
'applause' occured: 2
'apple' occured: 8
'apples' occured: 2
'applicable' occured: 5
'application' occured: 8
'applications' occured: 1
'applied' occured: 10
'applies' occured: 1
'apply' occured: 9
'applying' occured: 6
'appoint' occured: 1
'appointed' occured: 51
'appointment' occured: 18
'appointments' occured: 5
'apportioned' occured: 2
'appositely' occured: 1
'appositeness' occured: 1
'appraised' occured: 1
'appraising' occured: 1
'appreciate' occured: 6
'appreciated' occured: 13
'appreciating' occured: 1
'appreciation' occured: 3
'appreciative' occured: 1
'apprehend' occured: 1
'apprehended' occured: 1
'apprehension' occured: 3
'apprehensive' occured: 2
'apprenticeship' occured: 2
'approach' occured: 28
'approached' occured: 70
'approaches' occured: 3
'approaching' occured: 59
'approbation' occured: 2
'appropriate' occured: 4
'appropriated' occured: 2
'appropriately' occured: 1
'approval' occured: 24
'approve' occured: 10
'approved' occured: 12
'approving' occured: 3
'approvingly' occured: 6
'approximate' occured: 2
'approximately' occured: 3
'approximation' occured: 2
'appwove' occured: 1
'apraksin' occured: 1
'apraksina' occured: 5
'apraksins' occured: 2
'april' occured: 4
'apron' occured: 11
'aprons' occured: 2
'apropos' occured: 1
'apsheron' occured: 4
'apsherons' occured: 4
'apt' occured: 5
'aptitude' occured: 3
'aquaintances' occured: 1
'ar' occured: 1
'arab' occured: 4
'arabchik' occured: 1
'arakcheev' occured: 43
'arbat' occured: 8
'arbiter' occured: 1
'arbiters' occured: 1
'arbitrarily' occured: 5
'arbitrariness' occured: 1
'arbitrary' occured: 6
'arc' occured: 2
'arcade' occured: 1
'arch' occured: 3
'archduchess' occured: 2
'archduchy' occured: 1
'archduke' occured: 14
'arched' occured: 4
'arching' occured: 3
'architect' occured: 17
'architecture' occured: 1
'archive' occured: 13
'archives' occured: 1
'archway' occured: 1
'arcola' occured: 3
'ardent' occured: 3
'ardently' occured: 1
'ardor' occured: 5
'arduous' occured: 1
'arduously' occured: 1
'are' occured: 1290
'area' occured: 1
'aren' occured: 18
'argue' occured: 4
'argued' occured: 6
'arguing' occured: 8
'argument' occured: 13
'argumentative' occured: 1
'argumentatively' occured: 1
'arguments' occured: 22
'arinka' occured: 1
'arise' occured: 9
'arisen' occured: 3
'arises' occured: 7
'arising' occured: 4
'aristocracy' occured: 3
'aristocratic' occured: 3
'aristovo' occured: 2
'arithmetic' occured: 1
'arkharovs' occured: 4
'arm' occured: 177
'armchair' occured: 32
'armchairs' occured: 2
'armed' occured: 19
'armee' occured: 3
'armenian' occured: 6
'armenians' occured: 1
'armfeldt' occured: 12
'armfeldts' occured: 1
'armies' occured: 44
'arming' occured: 1
'armistice' occured: 4
'armpits' occured: 3
'arms' occured: 176
'army' occured: 665
'arnauts' occured: 2
'aroma' occured: 1
'aromatic' occured: 2
'arose' occured: 21
'around' occured: 173
'arouse' occured: 10
'aroused' occured: 30
'arouses' occured: 1
'arousing' occured: 6
'arrange' occured: 29
'arranged' occured: 49
'arrangement' occured: 7
'arrangements' occured: 21
'arranging' occured: 19
'array' occured: 2
'arrears' occured: 1
'arrest' occured: 7
'arrested' occured: 19
'arrival' occured: 54
'arrivals' occured: 7
'arrive' occured: 21
'arrived' occured: 93
'arrives' occured: 4
'arriving' occured: 16
'arrogant' occured: 2
'arrow' occured: 2
'arsenal' occured: 4
'arsenic' occured: 1
'arshin' occured: 1
'arson' occured: 2
'art' occured: 27
'artful' occured: 2
'article' occured: 3
'articles' occured: 8
'articulated' occured: 1
'articulating' occured: 4
'artifice' occured: 1
'artificial' occured: 14
'artificiality' occured: 3
'artificially' occured: 2
'artillery' occured: 53
'artilleryman' occured: 6
'artillerymen' occured: 8
'artisans' occured: 4
'artist' occured: 2
'artistic' occured: 2
'artless' occured: 2
'arts' occured: 1
'as' occured: 4036
'ascended' occured: 10
'ascending' occured: 6
'ascent' occured: 2
'ascertain' occured: 5
'ascertained' occured: 1
'ascertaining' occured: 1
'asch' occured: 2
'ascii' occured: 2
'ascribe' occured: 4
'ascribed' occured: 1
'ascribing' occured: 1
'ash' occured: 1
'ashamed' occured: 57
'ashes' occured: 2
'asia' occured: 1
'asiatic' occured: 3
'asiatique' occured: 2
'aside' occured: 60
'asile' occured: 1
'ask' occured: 200
'askance' occured: 3
'asked' occured: 668
'asking' occured: 106
'asks' occured: 16
'asleep' occured: 79
'asparagus' occured: 2
'aspect' occured: 5
'aspects' occured: 1
'aspen' occured: 3
'aspersion' occured: 1
'aspirations' occured: 2
'ass' occured: 1
'assailed' occured: 2
'assassination' occured: 1
'assault' occured: 1
'assemble' occured: 2
'assembled' occured: 25
'assemblies' occured: 1
'assembling' occured: 2
'assembly' occured: 2
'assent' occured: 3
'assented' occured: 11
'assenting' occured: 1
'assert' occured: 2
'assertion' occured: 1
'asserts' occured: 1
'assessor' occured: 1
'assez' occured: 1
'assiduity' occured: 1
'assiduous' occured: 2
'assiduously' occured: 1
'assignat' occured: 1
'assignation' occured: 1
'assigned' occured: 12
'assignment' occured: 1
'assimilated' occured: 2
'assist' occured: 6
'assistance' occured: 8
'assistant' occured: 22
'assistants' occured: 4
'assisted' occured: 1
'associate' occured: 2
'associated' occured: 15
'associates' occured: 2
'associating' occured: 2
'association' occured: 1
'associations' occured: 3
'assume' occured: 26
'assumed' occured: 51
'assumes' occured: 3
'assuming' occured: 9
'assumption' occured: 11
'assumptions' occured: 2
'assurance' occured: 24
'assurances' occured: 2
'assure' occured: 13
'assured' occured: 22
'assuring' occured: 6
'astir' occured: 2
'astonish' occured: 3
'astonished' occured: 17
'astonishing' occured: 2
'astonishment' occured: 13
'astounded' occured: 3
'astounding' occured: 1
'astraea' occured: 1
'astray' occured: 5
'astride' occured: 1
'astronomy' occured: 8
'astute' occured: 1
'astwide' occured: 2
'asylum' occured: 6
'asylums' occured: 3
'at' occured: 4547
'ate' occured: 17
'atheist' occured: 1
'atheistic' occured: 1
'athletic' occured: 1
'athwart' occured: 1
'atmosphere' occured: 18
'atom' occured: 3
'atoms' occured: 4
'atone' occured: 5
'atrocities' occured: 1
'atrocity' occured: 1
'att' occured: 1
'attach' occured: 3
'attached' occured: 23
'attaches' occured: 1
'attaching' occured: 3
'attachment' occured: 1
'attachments' occured: 3
'attack' occured: 107
'attacked' occured: 30
'attacker' occured: 1
'attacking' occured: 20
'attacks' occured: 11
'attain' occured: 19
'attained' occured: 17
'attaining' occured: 4
'attainment' occured: 7
'attempt' occured: 15
'attempted' occured: 6
'attempting' occured: 2
'attempts' occured: 10
'attend' occured: 14
'attendance' occured: 17
'attendant' occured: 8
'attendants' occured: 2
'attended' occured: 16
'attendez' occured: 1
'attending' occured: 10
'attendre' occured: 1
'attention' occured: 117
'attentions' occured: 6
'attentive' occured: 16
'attentively' occured: 32
'attila' occured: 1
'attire' occured: 3
'attitude' occured: 36
'attitudes' occured: 1
'attract' occured: 12
'attracted' occured: 21
'attracting' occured: 5
'attraction' occured: 10
'attractions' occured: 2
'attractive' occured: 19
'attractively' occured: 1
'attracts' occured: 2
'attribute' occured: 5
'attributed' occured: 14
'attributes' occured: 3
'attributing' occured: 2
'au' occured: 18
'aubert' occured: 1
'auction' occured: 2
'audacity' occured: 4
'audible' occured: 19
'audibly' occured: 3
'audience' occured: 18
'audiences' occured: 1
'auditing' occured: 1
